Santiago Durango
Chad Durbin
Dick Durbin
Jim Durkin
Jean Baptiste Point du Sable
Jim Dwyer 
Conor Dwyer
Thomas Dyer
Jimmy Dykes
Amelia Earhart
Wyatt Earp
Martin Eberhard
Christine Ebersole
Roger Ebert
Buddy Ebsen
Earl Eby
Walter Eckersall
Dwight Eddleman
John R. Eden
Jim Edgar
John Edgar
Ninian Edwards
Chandler Egan
Walter Egan 
Dave Eggers
David Eigenberg
Deborah Eisenberg
Brett Eldredge
Kurt Elling
Bump Elliott
Bo Ellis
LaPhonso Ellis
Larry Ellison
Bob Elson
John Ely 
Melvin Ely
Ari Emanuel
Rahm Emanuel
Louis Lincoln Emmerson
Larry English
William Enyart
John Erlander
John N. Erlenborn
Sammy Esposito
Tony Esposito
Richard Estes
Aja Evans
Andrea Evans
Chick Evans
Dan Evans 
Fred Evans 
John Evans 
Lane Evans
Phil Everly
Johnny Evers
Thomas W. Ewing
William Lee D. Ewing
Red Faber
Richard Fancy
Dennis Farina
Ed Farmer
Henry Farnam
John F. Farnsworth
Louis Farrakhan
James T. Farrell
Charles B. Farwell
Jeff Fassero
Nancy Faust
Harris W. Fawell
Meagen Fay
Jesse W. Fell
Gary Fencik
Enrico Fermi
George Washington Gale Ferris
Tina Fey
Lupe Fiasco
Carl Fick
Orlando B. Ficklin
Eugene Field
Marshall Field
Marshall Field III
Marshall Field IV
Ted Field
Jackie Fields
Joseph W. Fifer
Tim Finchem
Paul Findley
Michael Finley
Harvey S. Firestone
Bill Fischer 
Bobby Fischer
John Fischetti
Eileen Fisher
Steve Fisher
Carlton Fisk
John Fitzgerald 
Pat Fitzgerald
Patrick Fitzgerald
Crista Flanagan
Michael Flatley
Bill Flemming
Calista Flockhart
Paul Flory
Cliff Floyd
Fahey Flynn
John Flynn 
Neil Flynn
Dan Fogelberg
Pat Foley
Thomas C. Foley
Tim Foley
Tom Foran
Betty Ford
Harrison Ford
Judith Ford
Ruth VanSickle Ford
Thomas Ford 
Carl Foreman
Frank Foss 
George Edmund Foss
Bob Fosse
Ray Fosse
Steve Fossett
Bill Foster 
Martin D. Foster
Greg Foster 
Rube Foster
Albert Fowler
Sylvia Fowles
Carol Fox 
Nellie Fox
Redd Foxx
Clint Frank
Art Frantz
Dennis Franz
Jonathan Franzen
Jonathan Fraser
Laura Gardin Fraser
Jason Frasor
Walt Frazier
John T. Frederick
Bud Freeman
Kathleen Freeman
Paul Frees
Augustus C. French
Betty Friedan
William Friedkin
Milton Friedman
Johnny Frigo
Charles Sumner Frost
Jim Fuchs
Francis Fukuyama
Charles Eugene Fuller
Jack Fuller
Melville Fuller
R. Buckminster Fuller
Hugh Fullerton
Xavier Fulton
George Furth
John Wayne Gacy
Belva Gaertner
Gary Gaetti
Lyman J. Gage
Frank Galati
George Washington Gale
Johnny Galecki
Harry Gallatin
Paul Galvin 
Mason Gamble
James Gammon
Gale Gand
Aimee Garcia
Jeff Garlin
Kevin Garnett
Scott Garrelts
Darell Garretson
Augustus Garrett
Dave Garroway
Jennie Garth
Elbert Henry Gary
John Warne Gates
Janina Gavankar
Mitzi Gaynor
Jason Gedrick
Bill Geist
Willie Geist
Larry Gelbart
Bill George 
Francis George
Phil Georgeff
Jami Gertz
Tavi Gevinson
Georgie Anne Geyer
Sam Giancana
John Giannini
Marla Gibbs
Charles Gibson
Emily Giffin
Kendall Gill
Fred Gillies
Joe Girardi
Adele Givens
Henry P. Glass
Stephen Glass 
Otis F. Glenn
Caroline Glick
Gina Glocksen
Bob Goalby
George Gobel
Godfrey 
Timothy Goebel
Mike Goff 
Gracie Gold
Albert Goldbarth
Barry Goldberg
Ronald Goldman
William Goldman
Arlene Golonka
Andrew Golota
Jaslene Gonzalez
Benny Goodman
Steve Goodman
William O. Goodman
Andrew Goodpaster
Stuart Gordon
Edward Gorey
Mark Gorski
Tom Gorzelanny
Freeman Gosden
Jeff Gossett
Sue Gossick
Harry Grabiner
Jim Grabowski
Joseph V. Graff
Billy Graham
Bruce Graham
Kent Graham
Otto Graham
Nancy Lee Grahn
Peaches Graham
Stedman Graham
Judy Grahn
Curtis Granderson
Red Grange
Bob Grant 
Frederick Dent Grant
James Grant 
Mark Grant 
Ulysses S. Grant
Ulysses S. Grant III
Cammi Granato
Tony Granato
Bonita Granville
Laura Granville
Charles McNeill Gray
Dolores Gray
Harold Gray
Kenneth J. Gray
Eli Grba
Andrew Greeley
Dwight H. Green
Rickey Green
Shawn Green
Kevin Greene
Shecky Greene
Ralph Greenleaf
Sam Greenlee
Rose Gregorio
Brian Gregory
John Milton Gregory
Matt Grevers
Johnny Griffin
Kathy Griffin
Montell Griffin
Howard Griffith
John L. Griffith
Yolanda Griffith
Charlie Grimm
Mary Gross
Michael Gross 
Dov Grumet-Morris
Glen Grunwald
Lisa Guerrero
Ozzie Guillen
Charles J. Guiteau
Bryant Gumbel
Greg Gumbel
Frank W. Gunsaulus
John Gunther
Larry Gura
Walter S. Gurnee
Luis Gutiérrez
Buddy Guy
Brad Guzan
Gene Hackman
Jerry Hadley
Jean Hagen
Michael G. Hagerty
Kathryn Hahn
John Charles Haines
Jerry Hairston
George Halas
Barbara Hale
DeMarlo Hale
George E. Hale
Bryan Hall 
Ed Hall 
Glenn Hall
Lani Hall
Gary Hallberg
Bill Haller
Tom Haller
Robert Halperin
Halston
Roy Hamey
Dorothy Hamill
John Marshall Hamilton
Todd Hamilton
Penny Hammel
Richard Hamming
John Hammond 
Dan Hampton
Herbie Hancock
Elliot Handler
Daryl Hannah
Lorraine Hansberry
Brian Hansen 
Myrna Hansen
Robert Hanssen
J. A. Happ
Luke Harangody
Clay Harbor
Tim Hardaway
Abner C. Harding
John Marshall Harlan II
