Isa Abdul-Quddus
Vida Guerra
Valerie Harper
Debbie Harry
Anne Hathaway
Ethan Hawke
Bob Herbert
Orel Hershiser
Toomas Hendrik Ilves
Sheena Iyengar
Millie Jackson
Chris Jent
Joe Jonas
Nick Jonas
Brian Joo
Ryan Kalish
Kevin Kelly 
Ezra Koenig
Ezra Miller
Denyce Lawton
Ailee
Ted Leo
Samm Levine
Carl Lewis
Richard Lewis 
G. Gordon Liddy
Naomi Long Madgett
Bill Maher
Michelle Malkin
Constantine Maroulis
Gene Mayer
Devin McCourty
John C. McGinley
Lea Michele
Natalia Mitsuoka
Matt Mulhern
Brittany Murphy
Jim Nantz
Jack Nicholson
J. J. North
Karen O
Christine O'Donnell
Brian O'Halloran
Rick Overton
Scott Patterson 
Piper Perabo
Maxwell Perkins
Clarke Peters
Shaun Phillips
Carol Potter 
Dwight Muhammad Qawi
Rebecca Quick
Anna Quindlen
B. J. Raji
Christopher Reeve
Shirley Alston-Reeves
Christina Ricci
Cameron Richardson
Ian Roberts 
Michelle Rodriguez
Howie Roseman
Carl Sagan
Samardo Samuels
Gabe Saporta
Susan Sarandon
Jessica Savitch
Jon Seda
Brooke Shields
Andrew Shue
Elisabeth Shue
George P. Shultz
Bryan Singer
Patti Smith
John Spencer 
Steven Spielberg
Jon Stewart
Jack Tatum
Joseph Hooton Taylor
Lance Thomas
Steven Van Zandt
Bruce Vilanch
Frank Vincent
Voltaire 
Bruce Willis
Scott Wolf
Teresa Wright
Jack Abramoff
Lavoy Allen
Jozy Altidore
Priscilla Barnes
Jeffrey Bewkes
Robert Blake 
Elizabeth Bogush
Phil Bredesen
Marshon Brooks
Michael R. Burns
Mary Chapin Carpenter
Sean Casey 
Paul Cushing Child
Grover Cleveland
Jason Cook 
Brian De Palma
Brian Delate
Kirsten Dunst
Mel Ferrer
John Forsythe
Kate French
Dana Fuchs
Janeane Garofalo
David Garrard
Paul Gleason
Mike Goodson
Chuck Greenberg 
Robert David Hall
Sterling Hayden
Jason Heyward
Debra Hill
Linda Hunt
Ice-T
Richie Incognito
Derek Jeter
Richard Kind
Bobby Korecky
Scott LaFaro
Sue Ane Langdon
Gordon MacRae
Norman Mailer
Camryn Manheim
Richard Matheson
Lindsey McKeon
Kate Micucci
Bob Milacki
Christina Milian
Eric Millegan
Philip Morrison
Charlie Morton 
Montell Owens
Daniel Pearl
A. J. Price
Dana Reeve
Dennis Rodman
Joe Rogan
Paul Rudd
Zoe Saldana
Cindy Sherman
Paul Simon
Kevin Spacey
J. Michael Straczynski
Red Strader
Terrell Suggs
Dave Thomas 
Jack Warden
Liza Weil
Jane Wyatt
Nick Zano
Danny Aiello
Alan Alda
Muhammad Ali
Paul Anka
AZ 
Brian Baldinger
Jesse Barfield
Yogi Berra
George Benson
Mary J. Blige
Andre Braugher
Jim Bunning
Jim Byrnes 
Harry Carson
Vince Carter
Sarah Chang
Connie Chung
Mary Higgins Clark
Bobby Clarke
Alon Cohen
Stephen Colbert
Sean Combs
Peter Criss
Johnny Damon
Damon Dash
Darryl Dawkins
Steve Doocy
Halim El-Dabh
Missy Elliott
Jeff Feagles
Lior Haramaty
Bobby Hebb
Sam Huff
Jay-Z
Tommy John
Michael Johns 
Jim Jones
Zab Judah
Kitty Kallen
Jevon Kearse
Jason Kidd
Lil' Kim
Bernard King
Michael Landon
Phoebe Snow
Bettye LaVette
Heather Locklear
Mario 
Tino Martinez
Fred Mascherino
Don Mattingly
Darryl McDaniels
Bob McGrath
Donovan McNabb
Bob Menne
Eddie Murphy
Bob Menne
Richard Milhous Nixon
Tina Nordström
Jonathan M. Parisen
Randal Pinkett
Maury Povich
Aidan Quinn
Willie Randolph
Geraldo Rivera
Sylvia Robinson
Chris Rock
Jeremy Roenick
Jimmy Rollins
Ja Rule
CC Sabathia
Gary Sheffield
Lito Sheppard
Brooke Shields
Joseph Simmons
Kimora Lee Simmons
Russell Simmons
Phil Simms
Wesley Snipes
Luis Sojo
Paul Sorvino
"James ""J.T."" Taylor"
Mitch Williams 
Dave Winfield
Stevie Wonder
Shou-Wu Zhang
Feng Yun 
New Jersey Hall of Fame
Category:New Jersey culture
Category:New Jersey-related lists
Category:People from New Jersey
Category:All articles with dead external links
Category:Articles with dead external links from June 2012
Category:Use mdy dates from May 2014
Category:Articles with missing files
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
