Clark MacGregor
Myles Mace
Shane Mack 
Catharine MacKinnon
George MacKinnon
Cornell MacNeil
John Madden
Clarence R. Magney
Warren G. Magnuson
Tom Malchow
Mark Mallman
George Mann 
Paul Manship
John Mariucci
Roger Maris
Sharon Marko
June Marlowe
Kelli Maroney
Forrest Mars
Franklin Clarence Mars
Fred Marshall 
Theodore Marston
E. G. Marshall
Jim Marshall 
William Rainey Marshall
Billy Martin
Homer Dodge Martin
Paul Martin 
John Marty
Brownie Mary
Bob Mason
Shirley Ardell Mason
Tommy Mason
Bethanie Mattek
Gene Mauch
Joe Mauer
John Mayasich
Charles Horace Mayo
William James Mayo
William Worrall Mayo
Joe Mays
Eugene McCarthy
Kevin McCarthy 
James McCleary
Betty McCollum
Ed McDaniel
Randall McDaniel
James E. McDonald
Denis McDonough
Heather McElhatton
Hugh McElhenny
Bobby McFerrin
Andrew Ryan McGill
Kevin McHale 
Bethany McLean
John McMartin
Samuel J. R. McMillan
Audray McMillian
Lesley J. McNair
Graham McNamee
Dugan McNeill
Pamela McNeill
Marcia McNutt
Samuel Medary
Ralph Meeker
Mike Menning
William Rush Merriam
Jeremy Messersmith
James Metzen
Breckin Meyer
Joe Micheletti
Doug Mientkiewicz
Boris Mikšić
Keith Millard
Archie H. Miller
Clarence B. Miller
Joey Miller
Stephen Miller
Worm Miller
Kate Millett
Larry Millett
Tommy Milton
Don Mincher
David Minge
William D. Mitchell
Roger Moe
Don Moen 
Alfred Moes
Paul Molitor
Carol Molnau
Dorothy Molter
Eleanor Mondale
Joan Mondale
Walter Mondale
Robert Mondavi
Warren Moon
Freddy Moore
Mewelde Moore
Tom Moore 
Jack Morris
Robert P. Morris
Dorilus Morrison
Scott Mortensen
Greg Mortenson
Marnie Mosiman
Randy Moss
Mee Moua
Bob Mould
John Edward Mower
Karl Mueller 
Peter Mueller 
Mark Mullaney
Biggie Munn
Adolph Murie
Diana E. Murphy
Rick Mystrom
Arthur Naftalin
Bronko Nagurski
Peter Najarian
Joe Nathan
Noel Neill
LeRoy Neiman
Ancher Nelsen
Arthur E. Nelson
Cindy Nelson
Darrin Nelson
George Nelson 
Holly Nelson
Knute Nelson
Roy Nelson 
Steve Nelson 
Pat Neshek
Tom Netherton
Graig Nettles
Ernie Nevers
Walter Newton
Joseph Nicollet
Tom Niedenfuer
Matt Niskanen
Richard Nolan
William I. Nolan
Gena Lee Nolin
John Nord
Michele Norris
William Norris 
Lauris Norstad
Daniel S. Norton
Eunice Norton
Greg Norton
Scott Norton
Frank Nye
Roger Nygard
Jim Oberstar
Tim O'Brien 
Mac O'Grady
Michael O'Leary 
Tim Ocel
Willie Offord
Joseph P. O'Hara
Kyle Okposo
Tony Oliva
Alec G. Olson
Earl B. Olson
Floyd B. Olson
Greg Olson 
Howard Olson
John Olson 
Katy Olson
Kenneth L. Olson
Mark W. Olson
Sigurd Olson
Norman J. Ornstein
Dave Osborn
T.J. Oshie
Laura Osnes
Peter Ostroushko
Rebecca Otto
Owl City
Alan Page
John U. D. Page
Doug Pagitt
Floyd Palmer
Carl Panzram
George Andreas Papandreou
Bob Paradise
Zach Parise
Robert E. Park
Bradford Parkinson
Gordon Parks
Emory Parnell
Nancy Parsons
Camilo Pascual
Gary Paulsen
Jeno Paulucci
Mary Pawlenty
Tim Pawlenty
Pat Peake
Westbrook Pegler
Mary Jo Pehl
Tim Penny
Glen Perkins
Rudy Perpich
